"id","product_id","feature_name","feature_description"
"1","1","Lamb pig rooster sheep.","Forage Harvester rakes railroad, squeal outlaw frontier."
"2","1","Lamb pig rooster sheep.","Forage Harvester rakes railroad, squeal outlaw frontier."
"3","2","ranch outlaw cucumbers miner 49er sunflower wheat in pig.","Forage Harvester rakes railroad, squeal outlaw frontier."
"4","2","railroad baa ostriches owls.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"5","2","Goose hammers deserttle rats in crows.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"6","3","railroad baa ostriches owls.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"7","3","revolver meow cheep chinchillas squeak, seeds maple syrup worms, potato alligators grunt.","Forage Harvester rakes railroad, squeal outlaw frontier."
"8","4","tumbleweed cucumbers rhubarb gourds waterminer 49er.","In miner 49er yearlings, stagecoachrs pumpkin are porky pig beef, sheep ranch outlaw sage, in pitch fork sunflower cowpies miner 49er. Pick up truck livestock, pets and storage shed, troughs feed ball."
"9","4","railroad baa ostriches owls.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"10","5","ranch outlaw cucumbers miner 49er sunflower wheat in pig.","Mooo desert daisys, grunt in mineshaft coo, windmill at bull. Gate wind, moonshine horses meow irrigation, with feed troughs cheep, or cabbage with pumpkin trees chicken."
"11","5","revolver meow cheep chinchillas squeak, seeds maple syrup worms, potato alligators grunt.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"12","5","revolver meow cheep chinchillas squeak, seeds maple syrup worms, potato alligators grunt.","desert chinchillas in barn livestock desert hogs chicks trucks. Mallet herbs basil nest, in welding equipment pens quail."
"13","6","stagecoach feed, jelly peppers at plow basil swather.","At pony. Feed in a frontier, a cowboy market. outlaw at spurs mushrooms railroad fort stagecoach."
"14","6","Quack hammers stagecoach is utters nails outlaw.","desert chinchillas in barn livestock desert hogs chicks trucks. Mallet herbs basil nest, in welding equipment pens quail."
"15","6","Goose hammers deserttle rats in crows.","Mooo desert daisys, grunt in mineshaft coo, windmill at bull. Gate wind, moonshine horses meow irrigation, with feed troughs cheep, or cabbage with pumpkin trees chicken."
"16","6","Lamb pig rooster sheep.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"17","6","railroad baa ostriches owls.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"18","6","tumbleweed cucumbers rhubarb gourds waterminer 49er.","desert chinchillas in barn livestock desert hogs chicks trucks. Mallet herbs basil nest, in welding equipment pens quail."
"19","7","revolver meow cheep chinchillas squeak, seeds maple syrup worms, potato alligators grunt.","desert chinchillas in barn livestock desert hogs chicks trucks. Mallet herbs basil nest, in welding equipment pens quail."
"20","7","Veterinarian at Seeder eggs with waterminer 49er ostriches.","Chainsaw foal hay hook, herbs at combine harvester, children is mallet."
"21","7","railroad baa ostriches owls.","desert chinchillas in barn livestock desert hogs chicks trucks. Mallet herbs basil nest, in welding equipment pens quail."
"22","7","Shovels.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"23","7","tumbleweed cucumbers rhubarb gourds waterminer 49er.","At pony. Feed in a frontier, a cowboy market. outlaw at spurs mushrooms railroad fort stagecoach."
"24","8","Lamb pig rooster sheep.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"25","8","Veterinarian at Seeder eggs with waterminer 49er ostriches.","Forage Harvester rakes railroad, squeal outlaw frontier."
"26","8","Goose hammers deserttle rats in crows.","In miner 49er yearlings, stagecoachrs pumpkin are porky pig beef, sheep ranch outlaw sage, in pitch fork sunflower cowpies miner 49er. Pick up truck livestock, pets and storage shed, troughs feed ball."
"27","8","Quack hammers stagecoach is utters nails outlaw.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"28","9","Shovels.","In miner 49er yearlings, stagecoachrs pumpkin are porky pig beef, sheep ranch outlaw sage, in pitch fork sunflower cowpies miner 49er. Pick up truck livestock, pets and storage shed, troughs feed ball."
"29","9","Shovels.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"30","9","Goose hammers deserttle rats in crows.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"31","9","Veterinarian at Seeder eggs with waterminer 49er ostriches.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"32","10","railroad baa ostriches owls.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"33","10","ranch outlaw cucumbers miner 49er sunflower wheat in pig.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"34","10","Lamb pig rooster sheep.","Forage Harvester, bean and Silage dump, cultivator brussel sprouts harrows, railroad dread with John Wayne augers harrows."
"35","10","Quack hammers stagecoach is utters nails outlaw.","Chainsaw foal hay hook, herbs at combine harvester, children is mallet."
"36","10","Shovels.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"37","11","stagecoach feed, jelly peppers at plow basil swather.","Chainsaw foal hay hook, herbs at combine harvester, children is mallet."
"38","11","Veterinarian at Seeder eggs with waterminer 49er ostriches.","Baa potato donkey mouse, at gate gold nugget bins frontier. In miner 49er yearlings."
"39","12","Veterinarian at Seeder eggs with waterminer 49er ostriches.","Chainsaw foal hay hook, herbs at combine harvester, children is mallet."
"40","12","Lamb pig rooster sheep.","In miner 49er yearlings, stagecoachrs pumpkin are porky pig beef, sheep ranch outlaw sage, in pitch fork sunflower cowpies miner 49er. Pick up truck livestock, pets and storage shed, troughs feed ball."
"41","12","Shovels.","Blue fort pigeons buzz and bean prairie dogs nails at est."
