"id","product_id","spec_category","spec_name","spec_value","has_more_info","more_info_text"
"1","1","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"2","1","Key Specs","Invisibility","Yes","False","null"
"3","1","Key Specs","Horsepower","180","False","null"
"4","1","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"5","1","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"6","1","General","Multicolor Options","Yes","False","null"
"7","1","General","Gold","Made of solid gold.","False","null"
"8","1","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"9","1","Other","UPC","600662538765","False","null"
"10","2","Key Specs","Horsepower","180","False","null"
"11","2","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"12","2","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"13","2","Key Specs","Invisibility","Yes","False","null"
"14","2","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"15","2","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"16","2","General","Manufactured in USA","Ya darn tootin!","False","null"
"17","2","General","Quality","So high","False","null"
"18","2","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"19","2","General","Size","Biggish","False","null"
"20","2","General","Gold","Made of solid gold.","False","null"
"21","2","General","Lifespan","~12 years","True","Estimated."
"22","2","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"23","2","Other","UPC","600662538765","False","null"
"24","3","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"25","3","Key Specs","Invisibility","Yes","False","null"
"26","3","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"27","3","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"28","3","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"29","3","General","Manufactured in USA","Ya darn tootin!","False","null"
"30","3","General","Multicolor Options","Yes","False","null"
"31","3","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"32","3","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"33","3","Other","UPC","600662538765","False","null"
"34","4","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"35","4","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"36","4","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"37","4","General","Multicolor Options","Yes","False","null"
"38","4","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"39","4","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"40","4","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"41","4","Other","UPC","600662538765","False","null"
"42","5","Key Specs","Invisibility","Yes","False","null"
"43","5","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"44","5","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"45","5","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"46","5","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
